Date,开盘价,最高价,最低价,收盘价,昨收价,涨跌幅,前1天收盘价,前2天收盘价,前3天收盘价,前4天收盘价,前5天收盘价,前6天收盘价,前7天收盘价,前8天收盘价,前9天收盘价,前10天收盘价,前1天涨跌幅,前2天涨跌幅,前3天涨跌幅,前4天涨跌幅,前5天涨跌幅,前6天涨跌幅,前7天涨跌幅,前8天涨跌幅,前9天涨跌幅,前10天涨跌幅
2022-05-09,113.0,113.08000183105469,105.8499984741211,106.62000274658203,116.76000213623047,-8.684480305008499,116.76000213623047,124.08000183105469,131.9499969482422,127.56999969482422,127.86000061035156,124.16999816894531,120.55000305175781,118.5199966430664,111.93000030517578,116.56999969482422,-5.899419396198117,-5.964376884581916,3.433406963938148,-0.22681128902158418,2.971734312491206,3.002899233136697,1.7127965458900176,5.887605038794854,-3.9804404236045103,1.745657681179475
2022-05-10,110.73999786376953,111.16999816894531,106.19000244140625,107.91000366210938,106.62000274658203,1.2099051606605757,106.62000274658203,116.76000213623047,124.08000183105469,131.9499969482422,127.56999969482422,127.86000061035156,124.16999816894531,120.55000305175781,118.5199966430664,111.93000030517578,-8.684480305008499,-5.899419396198117,-5.964376884581916,3.433406963938148,-0.22681128902158418,2.971734312491206,3.002899233136697,1.7127965458900176,5.887605038794854,-3.9804404236045103
2022-05-11,109.69999694824219,113.08000183105469,105.33000183105469,106.08999633789062,107.91000366210938,-1.6865974075189587,107.91000366210938,106.62000274658203,116.76000213623047,124.08000183105469,131.9499969482422,127.56999969482422,127.86000061035156,124.16999816894531,120.55000305175781,118.5199966430664,1.2099051606605757,-8.684480305008499,-5.899419396198117,-5.964376884581916,3.433406963938148,-0.22681128902158418,2.971734312491206,3.002899233136697,1.7127965458900176,5.887605038794854
2022-05-12,105.0199966430664,110.95999908447266,101.62000274658203,107.87999725341797,106.08999633789062,1.6872475985636688,106.08999633789062,107.91000366210938,106.62000274658203,116.76000213623047,124.08000183105469,131.9499969482422,127.56999969482422,127.86000061035156,124.16999816894531,120.55000305175781,-1.6865974075189587,1.2099051606605757,-8.684480305008499,-5.899419396198117,-5.964376884581916,3.433406963938148,-0.22681128902158418,2.971734312491206,3.002899233136697,1.7127965458900176
2022-05-13,112.4000015258789,117.97000122070312,112.05000305175781,116.94000244140625,107.87999725341797,8.398225267568064,107.87999725341797,106.08999633789062,107.91000366210938,106.62000274658203,116.76000213623047,124.08000183105469,131.9499969482422,127.56999969482422,127.86000061035156,124.16999816894531,1.6872475985636688,-1.6865974075189587,1.2099051606605757,-8.684480305008499,-5.899419396198117,-5.964376884581916,3.433406963938148,-0.22681128902158418,2.971734312491206,3.002899233136697
2022-05-16,116.62999725341797,119.76000213623047,114.20999908447266,117.80000305175781,116.94000244140625,0.7354203800213472,116.94000244140625,107.87999725341797,106.08999633789062,107.91000366210938,106.62000274658203,116.76000213623047,124.08000183105469,131.9499969482422,127.56999969482422,127.86000061035156,8.398225267568064,1.6872475985636688,-1.6865974075189587,1.2099051606605757,-8.684480305008499,-5.899419396198117,-5.964376884581916,3.433406963938148,-0.22681128902158418,2.971734312491206
2022-05-17,123.41000366210938,124.66999816894531,120.2300033569336,123.44000244140625,117.80000305175781,4.787775249182625,117.80000305175781,116.94000244140625,107.87999725341797,106.08999633789062,107.91000366210938,106.62000274658203,116.76000213623047,124.08000183105469,131.9499969482422,127.56999969482422,0.7354203800213472,8.398225267568064,1.6872475985636688,-1.6865974075189587,1.2099051606605757,-8.684480305008499,-5.899419396198117,-5.964376884581916,3.433406963938148,-0.22681128902158418
2022-05-18,121.19999694824219,124.22000122070312,118.43000030517578,118.86000061035156,123.44000244140625,-3.7103060113990964,123.44000244140625,117.80000305175781,116.94000244140625,107.87999725341797,106.08999633789062,107.91000366210938,106.62000274658203,116.76000213623047,124.08000183105469,131.9499969482422,4.787775249182625,0.7354203800213472,8.398225267568064,1.6872475985636688,-1.6865974075189587,1.2099051606605757,-8.684480305008499,-5.899419396198117,-5.964376884581916,3.433406963938148
2022-05-19,119.19999694824219,126.86000061035156,118.91000366210938,125.33999633789062,118.86000061035156,5.451788401702832,118.86000061035156,123.44000244140625,117.80000305175781,116.94000244140625,107.87999725341797,106.08999633789062,107.91000366210938,106.62000274658203,116.76000213623047,124.08000183105469,-3.7103060113990964,4.787775249182625,0.7354203800213472,8.398225267568064,1.6872475985636688,-1.6865974075189587,1.2099051606605757,-8.684480305008499,-5.899419396198117,-5.964376884581916
2022-05-20,126.12000274658203,129.64999389648438,121.25,124.47000122070312,125.33999633789062,-0.6941081399445502,125.33999633789062,118.86000061035156,123.44000244140625,117.80000305175781,116.94000244140625,107.87999725341797,106.08999633789062,107.91000366210938,106.62000274658203,116.76000213623047,5.451788401702832,-3.7103060113990964,4.787775249182625,0.7354203800213472,8.398225267568064,1.6872475985636688,-1.6865974075189587,1.2099051606605757,-8.684480305008499,-5.899419396198117
2022-05-23,125.75,125.75,122.05999755859375,124.0,124.47000122070312,-0.3776020053777822,124.47000122070312,125.33999633789062,118.86000061035156,123.44000244140625,117.80000305175781,116.94000244140625,107.87999725341797,106.08999633789062,107.91000366210938,106.62000274658203,-0.6941081399445502,5.451788401702832,-3.7103060113990964,4.787775249182625,0.7354203800213472,8.398225267568064,1.6872475985636688,-1.6865974075189587,1.2099051606605757,-8.684480305008499
2022-05-24,120.1500015258789,120.76000213623047,113.94000244140625,115.7300033569336,124.0,-6.669352131505166,124.0,124.47000122070312,125.33999633789062,118.86000061035156,123.44000244140625,117.80000305175781,116.94000244140625,107.87999725341797,106.08999633789062,107.91000366210938,-0.3776020053777822,-0.6941081399445502,5.451788401702832,-3.7103060113990964,4.787775249182625,0.7354203800213472,8.398225267568064,1.6872475985636688,-1.6865974075189587,1.2099051606605757
2022-05-25,117.41999816894531,119.81999969482422,116.5999984741211,119.31999969482422,115.7300033569336,3.1020446157064265,115.7300033569336,124.0,124.47000122070312,125.33999633789062,118.86000061035156,123.44000244140625,117.80000305175781,116.94000244140625,107.87999725341797,106.08999633789062,-6.669352131505166,-0.3776020053777822,-0.6941081399445502,5.451788401702832,-3.7103060113990964,4.787775249182625,0.7354203800213472,8.398225267568064,1.6872475985636688,-1.6865974075189587
2022-05-26,124.91000366210938,136.91000366210938,124.33999633789062,136.19000244140625,119.31999969482422,14.138453561623507,119.31999969482422,115.7300033569336,124.0,124.47000122070312,125.33999633789062,118.86000061035156,123.44000244140625,117.80000305175781,116.94000244140625,107.87999725341797,3.1020446157064265,-6.669352131505166,-0.3776020053777822,-0.6941081399445502,5.451788401702832,-3.7103060113990964,4.787775249182625,0.7354203800213472,8.398225267568064,1.6872475985636688
2022-05-27,134.3000030517578,139.38999938964844,134.0399932861328,139.08999633789062,136.19000244140625,2.1293735549583053,136.19000244140625,119.31999969482422,115.7300033569336,124.0,124.47000122070312,125.33999633789062,118.86000061035156,123.44000244140625,117.80000305175781,116.94000244140625,14.138453561623507,3.1020446157064265,-6.669352131505166,-0.3776020053777822,-0.6941081399445502,5.451788401702832,-3.7103060113990964,4.787775249182625,0.7354203800213472,8.398225267568064
